hold_id,branch,n_samples,full_modal_n,is_full_hold,u_prev_v,u_cmd_v,delta_u_v,duration_s,tail_n_samples,s_start_mm,s_terminal_mm,p_start_bar,p_terminal_bar,displacement_step_mm,s_terminal_sd_mm,p_terminal_sd_bar,s_terminal_slope_mm_s,p_terminal_slope_bar_s,accepted_for_creep,exclusion_reason
700,down,400,400,TRUE,6.293,3.844,-2.4490000000000003,4,20,23.58,12.661,3.42,1.942,-10.918999999999999,0.004472135954999484,0.00615587011251093,-0.02857142857142356,0.04210526315789695,TRUE,NA
701,down,400,400,TRUE,3.844,1.647,-2.197,4,20,12.66,4.521999999999999,1.94,0.62,-8.138000000000002,0.006155870112511066,0,-0.05413533834586799,0,TRUE,NA
702,up,400,400,TRUE,1.647,4.644,2.997,4,20,4.52,14.891,0.62,2.44,10.371,0.010208355710680591,0,0.14887218045115033,0,TRUE,NA
703,down,400,400,TRUE,4.644,3.236,-1.408,4,20,14.9,9.68,2.44,1.58,-5.220000000000001,0,0,0,0,TRUE,NA
704,up,400,400,TRUE,3.236,6.098,2.8619999999999997,4,20,9.68,22.457,1.58,3.3,12.777000000000001,0.011742858972247746,0,0.16691729323307164,0,TRUE,NA
705,up,400,400,TRUE,6.098,6.856,0.758,4,20,22.48,26.524,3.3,3.76,4.0440000000000005,0.008207826816681058,0,0.09624060150373642,0,TRUE,NA
706,down,400,400,TRUE,6.856,3.214,-3.642,4,20,26.54,10.11,3.76,1.56,-16.43,0.010259783520851322,0,-0.1503759398496041,0,TRUE,NA
707,down,400,400,TRUE,3.214,1.387,-1.827,4,20,10.1,3.846,1.56,0.46,-6.254,0.019574419397183733,0,-0.31578947368420923,0,TRUE,NA
708,up,400,400,TRUE,1.387,2.038,0.6509999999999998,4,20,3.82,5,0.46,0.86,1.1800000000000002,0,0,0,0,TRUE,NA
709,up,400,400,TRUE,2.038,4.307,2.2690000000000006,4,20,5,13.068,0.86,2.22,8.068,0.010052493799000478,0,0.14436090225564852,0,TRUE,NA
710,down,400,400,TRUE,4.307,3.547,-0.7600000000000002,4,20,13.08,10.64,2.22,1.78,-2.4399999999999995,0,0,0,0,TRUE,NA
711,up,400,400,TRUE,3.547,5.731,2.1839999999999997,4,20,10.64,20.487000000000002,1.78,3.08,9.847000000000001,0.00978720969859165,0,0.13684210526314772,0,TRUE,NA
712,down,400,400,TRUE,5.731,4.71,-1.021,4,20,20.5,16.54,3.08,2.463,-3.960000000000001,0,0.007326950970650471,0,-0.0315789473684216,TRUE,NA
713,up,400,400,TRUE,4.71,5.145,0.4349999999999996,4,20,16.54,18.06,2.46,2.74,1.5199999999999996,0,0,0,0,TRUE,NA
714,up,400,400,TRUE,5.145,6.533,1.3880000000000008,4,20,18.06,24.945,2.74,3.56,6.885000000000002,0.008885233166386196,0,0.11278195488722895,0,TRUE,NA
715,down,400,400,TRUE,6.533,5.32,-1.213,4,20,24.96,20.26,3.56,2.84,-4.699999999999999,0,0,0,0,TRUE,NA
716,down,400,400,TRUE,5.32,2.458,-2.862,4,20,20.26,7.277,2.84,1.1,-12.983,0.011742858972248084,0,-0.1669172932330694,0,TRUE,NA
717,up,400,400,TRUE,2.458,6.208,3.75,4,20,7.26,23.337,1.1,3.38,16.076999999999998,0.011742858972247746,0,0.166917293233079,0,TRUE,NA
718,down,400,400,TRUE,6.208,3.15,-3.0580000000000003,4,20,23.36,9.812000000000001,3.38,1.54,-13.547999999999998,0.010052493799000478,0,-0.14436090225564321,0,TRUE,NA
719,up,400,400,TRUE,3.15,4.697,1.5470000000000002,4,20,9.8,15.72,1.54,2.46,5.92,0,0,0,0,TRUE,NA
720,down,400,400,TRUE,4.697,3.557,-1.1400000000000001,4,20,15.72,11.36,2.46,1.78,-4.360000000000001,0,0,0,0,TRUE,NA
721,down,400,400,TRUE,3.557,2.333,-1.2239999999999998,4,20,11.36,6.702,1.78,1.04,-4.6579999999999995,0.006155870112510793,0,-0.05413533834585891,0,TRUE,NA
722,down,400,400,TRUE,2.333,1.609,-0.7240000000000002,4,20,6.7,4.36,1.04,0.6,-2.34,0,0,0,0,TRUE,NA
723,up,400,400,TRUE,1.609,2.337,0.7280000000000002,4,20,4.36,5.84,0.6,1.04,1.4799999999999995,0,0,0,0,TRUE,NA
724,up,400,400,TRUE,2.337,4.707,2.3699999999999997,4,20,5.84,14.985,1.04,2.465,9.145,0.011002392084403383,0.008885233166386394,0.15488721804508737,-0.0496240601503753,TRUE,NA
725,up,400,400,TRUE,4.707,5.805,1.0979999999999999,4,20,15,20.937,2.46,3.14,5.937000000000001,0.007326950970650309,0,0.07669172932330771,0,TRUE,NA
726,down,400,400,TRUE,5.805,3.636,-2.1689999999999996,4,20,20.96,11.59,3.14,1.82,-9.370000000000001,0.010259783520851322,0,-0.1503759398496162,0,TRUE,NA
727,down,400,400,TRUE,3.636,1.925,-1.711,4,20,11.58,5.301,1.82,0.785,-6.279,0.004472135954999683,0.008885233166386394,-0.028571428571418648,0.10075187969924786,TRUE,NA
728,up,400,400,TRUE,1.925,2.868,0.9429999999999998,4,20,5.3,7.553,0.8,1.36,2.253,0.00978720969859165,0,-0.046616541353370206,0,TRUE,NA
729,up,400,400,TRUE,2.868,6.527,3.6590000000000003,4,20,7.54,24.523,1.36,3.56,16.983,0.013416407864998451,0,0.20300751879698262,0,TRUE,NA
730,down,400,400,TRUE,6.527,4.777,-1.75,4,20,24.54,17.16,3.56,2.5,-7.379999999999999,0,0,0,0,TRUE,NA
731,down,400,400,TRUE,4.777,3.567,-1.21,4,20,17.16,11.401,2.5,1.78,-5.759,0.004472135954999484,0,-0.028571428571414096,0,TRUE,NA
732,up,400,400,TRUE,3.567,5.175,1.6079999999999997,4,20,11.4,18,1.78,2.76,6.6,0,0,0,0,TRUE,NA
733,up,400,400,TRUE,5.175,6.661,1.4859999999999998,4,20,18,25.566,2.76,3.64,7.565999999999999,0.009403246919632345,0,0.12631578947369537,0,TRUE,NA
734,down,400,400,TRUE,6.661,3.707,-2.9539999999999997,4,20,25.58,12.321,3.64,1.86,-13.258999999999999,0.007880689256523955,0,-0.08270676691730627,0,TRUE,NA
735,down,400,400,TRUE,3.707,1.409,-2.298,4,20,12.3,4.007,1.86,0.48,-8.293000000000001,0.019761738683361625,0,-0.3172932330826978,0,TRUE,NA
