u[V],p[V],s[mm],p[bar]
5.24,4.229,12.891,2.8061000000000003
5.25,4.229,12.939,2.8061000000000003
5.26,4.229,12.988,2.8061000000000003
5.27,4.253,13.086,2.8277
5.28,4.253,13.086,2.8277
5.29,4.253,13.135,2.8277
5.3,4.263,13.184,2.8367
5.31,4.263,13.232,2.8367
5.32,4.297,13.379,2.8672999999999997
5.33,4.287,13.428,2.8583
5.34,4.292,13.428,2.8628
5.35,4.292,13.428,2.8628
5.36,4.302,13.525,2.8718
5.37,4.307,13.623,2.8763000000000005
5.38,4.321,13.623,2.8889
5.39,4.321,13.721,2.8889
5.4,4.326,13.77,2.8933999999999997
5.41,4.341,13.818,2.9069000000000003
5.42,4.341,13.77,2.9069000000000003
5.43,4.37,13.916,2.9330000000000003
5.44,4.36,14.014,2.9240000000000004
5.45,4.36,14.014,2.9240000000000004
5.46,4.365,14.063,2.9285
5.47,4.38,14.111,2.942
5.48,4.38,14.111,2.942
5.49,4.385,14.209,2.9465
5.5,4.395,14.258,2.9555
5.51,4.39,14.258,2.9509999999999996
5.52,4.414,14.355,2.9726
5.53,4.419,14.453,2.9770999999999996
5.54,4.424,14.453,2.9816000000000003
5.55,4.424,14.502,2.9816000000000003
5.56,4.443,14.6,2.9987
5.57,4.438,14.697,2.9941999999999998
5.58,4.448,14.746,3.0032000000000005
5.59,4.458,14.795,3.0122
5.6,4.473,14.795,3.0256999999999996
5.61,4.463,14.844,3.0167
5.62,4.478,14.99,3.0302
5.63,4.487,14.99,3.0383000000000004
5.64,4.492,15.039,3.0427999999999997
5.65,4.497,15.088,3.0473
5.66,4.507,15.137,3.0563000000000002
5.67,4.512,15.186,3.0607999999999995
5.68,4.526,15.283,3.0734000000000004
5.69,4.526,15.332,3.0734000000000004
5.7,4.531,15.381,3.0778999999999996
5.71,4.541,15.479,3.086900000000001
5.72,4.541,15.527,3.086900000000001
5.73,4.561,15.527,3.1048999999999998
5.74,4.556,15.625,3.1004000000000005
5.75,4.57,15.674,3.1130000000000004
5.76,4.575,15.723,3.1175000000000006
5.77,4.58,15.771,3.122
5.78,4.58,15.82,3.122
5.79,4.604,15.967,3.1436
5.8,4.609,16.016,3.1481000000000003
5.81,4.604,16.016,3.1436
5.82,4.619,16.064,3.1571
5.83,4.619,16.113,3.1571
5.84,4.634,16.211,3.1706000000000003
5.85,4.629,16.26,3.1661
5.86,4.639,16.309,3.1751000000000005
5.87,4.668,16.455,3.2012
5.88,4.663,16.504,3.1967000000000008
5.89,4.668,16.504,3.2012
5.9,4.663,16.553,3.1967000000000008
5.91,4.678,16.65,3.2102000000000004
5.92,4.683,16.699,3.2146999999999997
5.93,4.683,16.748,3.2146999999999997
5.94,4.702,16.797,3.2318
5.95,4.702,16.895,3.2318
5.96,4.702,16.846,3.2318
5.97,4.727,16.992,3.2543000000000006
5.98,4.731,17.09,3.2579000000000002
5.99,4.731,17.09,3.2579000000000002
6,4.722,17.09,3.2498000000000005
6.01,4.741,17.236,3.2668999999999997
6.02,4.746,17.285,3.2714000000000008
6.03,4.761,17.334,3.2849000000000004
