xref[mm],s[mm],p[bar],u[V],t[ms] 
5.000,1.954,4.020,0.820,10.000
5.000,1.954,4.020,0.820,10.000
5.000,1.954,4.020,0.820,10.000
5.000,1.954,4.020,0.820,10.000
5.000,1.954,4.020,0.820,10.000
5.000,1.954,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.954,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.953,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.952,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.951,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
5.000,1.950,4.020,0.820,10.000
