xref[mm],s[mm],p[bar],u[V],t[ms] 
5.000,2.096,3.720,0.900,10.000
5.000,2.097,3.720,0.900,10.000
5.000,2.097,3.720,0.900,10.000
5.000,2.097,3.700,0.900,10.000
5.000,2.107,3.700,0.900,10.000
5.000,2.107,3.700,0.900,10.000
5.000,2.107,3.700,0.900,10.000
5.000,2.107,3.700,0.900,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.106,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.700,0.920,10.000
5.000,2.107,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.720,0.920,10.000
5.000,2.098,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
5.000,2.089,3.740,0.920,10.000
