xref[mm],s[mm],p[bar],u[V],t[ms] 
4.528,1.706,3.740,0.800,10.000
4.528,1.739,3.740,0.800,10.000
4.528,1.716,3.740,0.800,10.000
4.528,1.739,3.740,0.800,10.000
4.528,1.716,3.740,0.800,10.000
4.528,1.739,3.740,0.800,10.000
4.528,1.716,3.740,0.800,10.000
4.528,1.739,3.740,0.800,10.000
4.528,1.716,3.720,0.800,10.000
4.528,1.748,3.720,0.800,10.000
4.528,1.725,3.720,0.800,10.000
4.528,1.748,3.720,0.800,10.000
4.528,1.725,3.720,0.780,10.000
4.528,1.755,3.720,0.780,10.000
4.528,1.732,3.720,0.780,10.000
4.528,1.755,3.700,0.780,10.000
4.528,1.741,3.700,0.780,10.000
4.528,1.764,3.700,0.780,10.000
4.528,1.742,3.700,0.780,10.000
4.528,1.764,3.700,0.780,10.000
4.528,1.742,3.700,0.780,10.000
4.528,1.764,3.700,0.780,10.000
4.528,1.742,3.700,0.780,10.000
4.528,1.764,3.680,0.780,10.000
4.528,1.751,3.680,0.780,10.000
4.528,1.774,3.680,0.780,10.000
4.528,1.751,3.680,0.780,10.000
4.528,1.774,3.680,0.780,10.000
4.528,1.751,3.680,0.780,10.000
4.528,1.774,3.680,0.780,10.000
4.528,1.751,3.680,0.780,10.000
4.528,1.774,3.660,0.780,10.000
4.528,1.760,3.660,0.780,10.000
4.528,1.783,3.660,0.780,10.000
4.528,1.760,3.660,0.780,10.000
4.528,1.783,3.660,0.760,10.000
4.528,1.767,3.660,0.760,10.000
4.528,1.790,3.660,0.760,10.000
4.528,1.767,3.660,0.760,10.000
4.528,1.790,3.640,0.760,10.000
4.528,1.777,3.640,0.760,10.000
4.528,1.800,3.640,0.760,10.000
4.528,1.777,3.640,0.760,10.000
4.528,1.800,3.640,0.760,10.000
4.528,1.777,3.640,0.760,10.000
4.528,1.800,3.640,0.760,10.000
4.528,1.777,3.640,0.760,10.000
4.528,1.800,3.620,0.760,10.000
4.528,1.786,3.620,0.760,10.000
4.528,1.809,3.620,0.760,10.000
4.528,1.786,3.620,0.760,10.000
4.528,1.809,3.620,0.760,10.000
4.528,1.786,3.620,0.760,10.000
4.528,1.809,3.620,0.760,10.000
4.528,1.786,3.600,0.760,10.000
4.528,1.818,3.600,0.760,10.000
4.528,1.796,3.600,0.740,10.000
4.528,1.826,3.600,0.740,10.000
4.528,1.803,3.600,0.740,10.000
4.528,1.826,3.600,0.740,10.000
4.528,1.803,3.600,0.740,10.000
